Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
L_Leg_calf,0.0033484,-0.029029,-0.030512,0,0,0,0.13809,9.6691E-05,-1.5633E-05,1.7661E-09,6.8832E-05,-1.0628E-06,7.6265E-05,0,0,0,0,0,0,package://step/meshes/L_Leg_calf.STL,0.86667,0.9098,1,0.25,0,0,0,0,0,0,package://step/meshes/L_Leg_calf.STL,,왼다리_수정-1/하박_길이수정-1;왼다리_수정-1/MX-106R-5;왼다리_수정-1/무릎-1;왼다리_수정-1/하박보강-2;왼다리_수정-1/하박보강-1,좌표계9,기준축9,L_Leg_knee,revolute,0.031029,0.10025,0,0,0,2.4435,L_Leg_thighs,0,0,1,0,0,0,0,,,,,,,,
L_Leg_ankle,-0.02218,-0.018456,-0.030601,0,0,0,0.19885,8.016E-05,-1.0441E-06,4.623E-09,4.7702E-05,-1.0639E-06,7.9341E-05,0,0,0,0,0,0,package://step/meshes/L_Leg_ankle.STL,0.41176,0.41176,0.41176,1,0,0,0,0,0,0,package://step/meshes/L_Leg_ankle.STL,,"왼다리_수정-1/MX-106R-6;왼다리_수정-1/모터간연결부 2-2;왼다리_수정-1/MX-106R-7;왼다리_수정-1/모터간연결부 1-2;왼다리_수정-1/발목,골반 연결부-2",좌표계8,기준축8,L_Leg_ankle_pitch,revolute,-0.022585,-0.093743,0,0,0,-0.70796,L_Leg_calf,0,0,1,0,0,0,0,,,,,,,,
L_Leg_foot,-0.00018856,0.032607,-0.060803,0,0,0,0.084269,0.00013026,-1.3786E-09,-6.2696E-08,0.00017596,-5.6845E-10,5.2192E-05,0,0,0,0,0,0,package://step/meshes/L_Leg_foot.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://step/meshes/L_Leg_foot.STL,,왼다리_수정-1/발바닥-1;왼다리_수정-1/발목-1,좌표계7,기준축7,L_Leg_ankle_roll,revolute,-0.07773,-0.03589,-0.0308,3.1416,1.5708,0,L_Leg_ankle,0,0,1,0,0,0,0,,,,,,,,
Upper_Body,-0.00020527,0.0084686,0.049839,0,0,0,1.4543,0.00094303,-5.0324E-06,2.3758E-08,0.0023435,-1.6692E-07,0.0020308,0,0,0,0,0,0,package://step/meshes/Upper_Body.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://step/meshes/Upper_Body.STL,,"상체 어셈블리-1/상체 앞판-2;배터리 모사-1;상체 어셈블리-1/상체 1,2층 왼쪽 옆판-2;상체 어셈블리-1/상체 2층 판-1;상체 어셈블리-1/MX-64AT_AR-4;상체 어셈블리-1/상체 3층 판-2;상체 어셈블리-1/상체 오른팔 모터 지지대-2;상체 어셈블리-1/MX-28T_R-1;상체 어셈블리-1/MX-64AT_AR-3;상체 어셈블리-1/상체 왼팔 모터 지지대-1;컨버터 모사-1;상체 어셈블리-1/상체 1층 2층 어셈블리-1/상체 1층 판-1;상체 어셈블리-1/젯슨 외곽 케이스-1;상체 어셈블리-1/젯슨 뒷쪽 케이스-1;젯슨 모사-1;상체 어셈블리-1/상체 1,2층 오른쪽 옆판-2;컨버터 모사-2;상체 어셈블리-1/상체 1층 2층 어셈블리-1/배터리판-1;상체 어셈블리-1/상체 뒷판-1;PCB 아웃라인-1",좌표계13,기준축13,Waist,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
R_Arm_shoulder,-0.0032353,1.6986E-13,0.019229,0,0,0,0.019087,1.3968E-05,-3.0058E-17,1.2918E-06,8.6346E-06,-2.1011E-18,9.6296E-06,0,0,0,0,0,0,package://step/meshes/R_Arm_shoulder.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://step/meshes/R_Arm_shoulder.STL,,상체 어셈블리-1/오른팔 어셈블리-1/오른 어깨-1,좌표계14,기준축14,R_Arm_shoulder_yaw,revolute,-0.083498,0.0039294,0.085072,3.1416,-1.5708,0,Upper_Body,0,0,1,0,0,0,0,,,,,,,,
R_Arm_upper,1.4471E-05,-0.040916,-0.022614,0,0,0,0.095048,2.3421E-05,-1.8275E-07,8.2845E-13,1.6695E-05,-1.8275E-07,2.3421E-05,0,0,0,0,0,0,package://step/meshes/R_Arm_upper.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://step/meshes/R_Arm_upper.STL,,"상체 어셈블리-1/오른팔 어셈블리-1/MX-28T_R-9;상체 어셈블리-1/오른팔 어셈블리-1/link3,5-1;상체 어셈블리-1/오른팔 어셈블리-1/MX-28T_R-5;상체 어셈블리-1/오른팔 어셈블리-1/link3,5-4",좌표계15,기준축15,R_Arm_pitch,fixed,-0.025548,-0.022225,0.039672,-1.5708,0,3.1416,R_Arm_shoulder,0,0,0,,,,,,,,,,,,
R_Arm_lower,0.0065139,0.067895,-0.022642,0,0,0,0.082053,2.9982E-05,-2.5145E-07,4.2467E-13,1.9017E-05,-1.8275E-07,1.9739E-05,0,0,0,0,0,0,package://step/meshes/R_Arm_lower.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://step/meshes/R_Arm_lower.STL,,"상체 어셈블리-1/오른팔 어셈블리-1/link4-1;상체 어셈블리-1/오른팔 어셈블리-1/MX-28T_R-6;상체 어셈블리-1/오른팔 어셈블리-1/link3,5-5;상체 어셈블리-1/오른팔 어셈블리-1/그리퍼 체결부-1;상체 어셈블리-1/오른팔 어셈블리-1/그리퍼 하-1",좌표계16,기준축16,R_Arm_elbow,revolute,-0.022975,-0.081831,-0.0226,3.1416,1.5708,0,R_Arm_upper,0,0,-1,0,0,0,0,,,,,,,,
R_Arm_hand,-0.022889,0.028497,-0.021651,0,0,0,0.014931,1.3894E-05,2.372E-06,-3.9808E-11,7.0466E-06,7.2115E-11,1.0828E-05,0,0,0,0,0,0,package://step/meshes/R_Arm_hand.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://step/meshes/R_Arm_hand.STL,,상체 어셈블리-1/오른팔 어셈블리-1/그리퍼 상-1,좌표계17,기준축17,R_arm_hand,revolute,0,0.078998,0,0,0,0,R_Arm_lower,0,0,-1,0,0,0,0,,,,,,,,
L_Arm_shoulder,0.0032353,8.5487E-15,0.019229,0,0,0,0.019087,1.3968E-05,9.9974E-19,-1.2918E-06,8.6346E-06,8.579E-20,9.6296E-06,0,0,0,0,0,0,package://step/meshes/L_Arm_shoulder.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://step/meshes/L_Arm_shoulder.STL,,상체 어셈블리-1/왼팔 어셈블리-1/오른 어깨-1,좌표계18,기준축18,L_Arm_yaw,revolute,0.083445,0.0039294,0.085072,0,1.5708,0,Upper_Body,0,0,1,0,0,0,0,,,,,,,,
L_Arm_upper,-1.447E-05,-0.040916,-0.022614,0,0,0,0.095048,2.3421E-05,1.8274E-07,8.2845E-13,1.6695E-05,-1.8274E-07,2.3421E-05,0,0,0,0,0,0,package://step/meshes/L_Arm_upper.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://step/meshes/L_Arm_upper.STL,,"상체 어셈블리-1/왼팔 어셈블리-1/MX-28T_R-5;상체 어셈블리-1/왼팔 어셈블리-1/link3,5-1;상체 어셈블리-1/왼팔 어셈블리-1/link3,5-4;상체 어셈블리-1/왼팔 어셈블리-1/MX-28T_R-9",좌표계19,기준축19,L_Arm_pitch,revolute,0.025548,-0.022225,0.039672,-1.5708,0,-3.1416,L_Arm_shoulder,0,0,-1,0,0,0,0,,,,,,,,
L_Arm_lower,-0.0065139,0.067895,-0.022267,0,0,0,0.082053,2.9982E-05,2.5145E-07,4.2467E-13,1.9017E-05,-1.8274E-07,1.9739E-05,0,0,0,0,0,0,package://step/meshes/L_Arm_lower.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://step/meshes/L_Arm_lower.STL,,"상체 어셈블리-1/왼팔 어셈블리-1/link4-1;상체 어셈블리-1/왼팔 어셈블리-1/MX-28T_R-6;상체 어셈블리-1/왼팔 어셈블리-1/link3,5-5;상체 어셈블리-1/왼팔 어셈블리-1/그리퍼 체결부-1;상체 어셈블리-1/왼팔 어셈블리-1/그리퍼 하-1",좌표계20,기준축20,L_Arm_elbow,revolute,0.0226,-0.081831,-0.0226,0,-1.5708,0,L_Arm_upper,0,0,-1,0,0,0,0,,,,,,,,
L_Arm_hand,0.022889,0.028497,-0.021651,0,0,0,0.014931,1.3894E-05,-2.372E-06,-3.9808E-11,7.0466E-06,-7.2115E-11,1.0828E-05,0,0,0,0,0,0,package://step/meshes/L_Arm_hand.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://step/meshes/L_Arm_hand.STL,,상체 어셈블리-1/왼팔 어셈블리-1/그리퍼 상-1,좌표계21,기준축21,L_Arm_hand,revolute,0,0.078998,0.000375,0,0,0,L_Arm_lower,0,0,-1,0,0,0,0,,,,,,,,
Neck,-2.7555E-05,-0.0045024,0.026967,0,0,0,0.048084,1.0674E-05,3.8906E-13,-1.8275E-07,1.3017E-05,2.0297E-08,8.5522E-06,0,0,0,0,0,0,package://step/meshes/Neck.STL,0.86667,0.9098,1,1,0,0,0,0,0,0,package://step/meshes/Neck.STL,,상체 어셈블리-1/상체모터랑 연결되는 판-1;상체 어셈블리-1/MX-28T_R-2,좌표계22,기준축22,Neck_yaw,revolute,0,-0.040141,0.11705,0,0,3.1416,Upper_Body,0,0,1,0,0,0,0,,,,,,,,
head,-0.045352,-2.8793E-05,-0.022145,0,0,0,1.2731,0.0007659,-2.0553E-07,-1.1341E-05,0.00077399,-4.013E-08,0.00011525,0,0,0,0,0,0,package://step/meshes/head.STL,0,1,0,1,0,0,0,0,0,0,package://step/meshes/head.STL,,상체 어셈블리-1/D435i_Solid 질량적용-1;상체 어셈블리-1/카메라연결판2-1;상체 어셈블리-1/카메라연결판-2;상체 어셈블리-1/카메라연결판-1,좌표계23,기준축23,Neck_pitch,revolute,-0.022899,-0.0049021,0.041461,1.5708,0,-1.5708,Neck,0,0,1,0,0,0,0,,,,,,,,
